Full Guest Name,Category
Mia Scott,Bride's Work Colleagues
Tamar King,Groom's Friends
Emma Anderson,Family Friends
Theodore Garcia,Bride's Uni Friends
Maya Taylor,Bride's Uni Friends
Alexander Smith,Groom's Work Colleagues
Ella Robinson,Other
Roni Thomas,Groom's Uni Friends
Lily Garcia,Groom's Uni Friends
Chloe Allen,Bride's Side
Ethan Shahaf,Bride's Side
Tamar Dahan,Groom's Extended Family
Oliver Biton,Bride's Family
Alexander Dahan,Bride's Friends
Omer Lewis,Bride's Extended Family
Daniel Nissan,Bride's Family
Liam Allen,Bride's Extended Family
Emily Moore,Groom's Uni Friends
Levi Amar,Groom's Family
Emma Shahaf,Bride's Family
Grace Shapiro,Bride's Family
Mason Brown,Family Friends
Noa Shahaf,Family Friends
Jack Harris,Bride's Friends
Victoria Rodriguez,Mutual Friends
Emily Thompson,Groom's Work Colleagues
Chloe Lee,Other
Penelope Rodriguez,Groom's Side
Gal Harris,Bride's Friends
Noa Gonzalez,Bride's Family
Yonatan Johnson,Groom's Extended Family
Evelyn Thompson,Bride's Side
Yonatan Martinez,Groom's Extended Family
Lucas Martin,Bride's Friends
Amelia Martinez,Groom's Work Colleagues
Scarlett Hill,Groom's Extended Family
Yael Flores,Groom's Side
Roni Perez,Other
Victoria Hernandez,Groom's Family
Itay Friedman,Bride's Family
Evelyn Williams,Bride's Extended Family
Alexander Rodriguez,Groom's Work Colleagues
Alexander Goldberg,Groom's Family
Adi Scott,Bride's Work Colleagues
Liam Moore,Mutual Friends
Olivia Walker,Bride's Friends
Ethan Miller,Groom's Uni Friends
Liam Nissan,Groom's Uni Friends
Itay Williams,Bride's Family
James Mizrahi,Bride's Uni Friends
Penelope Shahaf,Groom's Friends
Michael Amar,Groom's Family
Yael Peretz,Mutual Friends
Dana Anderson,Groom's Side
Elijah Scott,Other
Amelia Allen,Bride's Work Colleagues
Amelia Amar,Bride's Friends
Ethan King,Bride's Friends
Ella Torres,Mutual Friends
Ofir Ramirez,Other
Ariel Biton,Bride's Extended Family
Hila Harris,Bride's Work Colleagues
Ethan Nissan,Bride's Uni Friends
Charlotte Torres,Groom's Side
Gal Peretz,Groom's Extended Family
Ella Taylor,Mutual Friends
Noa Rosen,Groom's Friends
Amelia Ramirez,Groom's Friends
Daniel Ramirez,Groom's Friends
Benjamin Barak,Bride's Side
Ariel Johnson,Groom's Extended Family
Ethan Binyamin,Groom's Family
Maya Garcia,Bride's Side
Amit Barak,Bride's Friends
Isabella Walker,Bride's Work Colleagues
Elijah Hernandez,Bride's Uni Friends
James Taylor,Groom's Side
Oliver Amar,Bride's Work Colleagues
Hila Amar,Bride's Side
James Perez,Bride's Work Colleagues
Elijah Katz,Bride's Work Colleagues
Penelope Garcia,Groom's Uni Friends
Penelope Amar,Groom's Extended Family
Levi Ramirez,Bride's Family
Yonatan Azulay,Bride's Side
Noam Perez,Groom's Uni Friends
Scarlett Barak,Groom's Work Colleagues
Adi Sanchez,Bride's Work Colleagues
Ofir Wright,Groom's Friends
Mateo Sharabi,Bride's Side
Alexander Moore,Family Friends
Henry Jones,Groom's Uni Friends
Noya Williams,Groom's Friends
Scarlett Wilson,Bride's Family
Lily Ben-David,Groom's Friends
Noah Azulay,Bride's Friends
Shira Jones,Groom's Friends
Noah Levi,Bride's Extended Family
Gal Jackson,Groom's Uni Friends
Liam Williams,Groom's Uni Friends
Tamar Walker,Groom's Side
Itay Allen,Bride's Family
Jack Dahan,Groom's Family
Emily Miller,Bride's Work Colleagues
Ariel Shahaf,Groom's Work Colleagues
Mia Davis,Groom's Family
Adi Friedman,Groom's Uni Friends
Evelyn Smith,Groom's Work Colleagues
Levi Friedman,Family Friends
Lily Scott,Bride's Uni Friends
Itay Wright,Family Friends
Adi Thomas,Other
Harper Perez,Groom's Side
Olivia Cohen,Bride's Extended Family
Hila Jackson,Bride's Friends
Yael Azulay,Groom's Uni Friends
Emily Lee,Groom's Side
Tamar Torres,Mutual Friends
Ofir Harris,Bride's Side
Elijah Jones,Bride's Side
Ella Brown,Bride's Work Colleagues
Amelia Shahaf,Mutual Friends
Ofir Goldberg,Groom's Work Colleagues
Ella Goldberg,Groom's Uni Friends
Adi Barak,Bride's Side
Ethan Rodriguez,Bride's Friends
Levi White,Groom's Uni Friends
